layer_name,l2_distance,num_params,round,tag
conv1.weight,7.72284460067749,9408,1,oracle_vs_full
bn1.weight,2.1038119792938232,64,1,oracle_vs_full
bn1.bias,1.0047123432159424,64,1,oracle_vs_full
bn1.running_mean,1.0370793342590332,64,1,oracle_vs_full
bn1.running_var,22.34119415283203,64,1,oracle_vs_full
bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer1.0.conv1.weight,5.839325904846191,36864,1,oracle_vs_full
layer1.0.bn1.weight,2.469214677810669,64,1,oracle_vs_full
layer1.0.bn1.bias,0.5469680428504944,64,1,oracle_vs_full
layer1.0.bn1.running_mean,9.746185302734375,64,1,oracle_vs_full
layer1.0.bn1.running_var,7.829781532287598,64,1,oracle_vs_full
layer1.0.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer1.0.conv2.weight,5.42628288269043,36864,1,oracle_vs_full
layer1.0.bn2.weight,2.6692662239074707,64,1,oracle_vs_full
layer1.0.bn2.bias,0.4436925947666168,64,1,oracle_vs_full
layer1.0.bn2.running_mean,3.678081512451172,64,1,oracle_vs_full
layer1.0.bn2.running_var,5.090665340423584,64,1,oracle_vs_full
layer1.0.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer1.1.conv1.weight,4.930768013000488,36864,1,oracle_vs_full
layer1.1.bn1.weight,2.4703269004821777,64,1,oracle_vs_full
layer1.1.bn1.bias,0.4309789538383484,64,1,oracle_vs_full
layer1.1.bn1.running_mean,10.138383865356445,64,1,oracle_vs_full
layer1.1.bn1.running_var,7.284873008728027,64,1,oracle_vs_full
layer1.1.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer1.1.conv2.weight,4.73364782333374,36864,1,oracle_vs_full
layer1.1.bn2.weight,2.7948951721191406,64,1,oracle_vs_full
layer1.1.bn2.bias,0.21741147339344025,64,1,oracle_vs_full
layer1.1.bn2.running_mean,3.8054258823394775,64,1,oracle_vs_full
layer1.1.bn2.running_var,4.179337024688721,64,1,oracle_vs_full
layer1.1.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer2.0.conv1.weight,5.328271865844727,73728,1,oracle_vs_full
layer2.0.bn1.weight,3.469003438949585,128,1,oracle_vs_full
layer2.0.bn1.bias,0.4354240894317627,128,1,oracle_vs_full
layer2.0.bn1.running_mean,12.419610023498535,128,1,oracle_vs_full
layer2.0.bn1.running_var,6.68924617767334,128,1,oracle_vs_full
layer2.0.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer2.0.conv2.weight,6.92201566696167,147456,1,oracle_vs_full
layer2.0.bn2.weight,3.5282235145568848,128,1,oracle_vs_full
layer2.0.bn2.bias,0.3035121560096741,128,1,oracle_vs_full
layer2.0.bn2.running_mean,5.367233753204346,128,1,oracle_vs_full
layer2.0.bn2.running_var,5.934170246124268,128,1,oracle_vs_full
layer2.0.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer2.0.downsample.0.weight,4.167335033416748,8192,1,oracle_vs_full
layer2.0.downsample.1.weight,3.1889302730560303,128,1,oracle_vs_full
layer2.0.downsample.1.bias,0.3035121560096741,128,1,oracle_vs_full
layer2.0.downsample.1.running_mean,5.235637664794922,128,1,oracle_vs_full
layer2.0.downsample.1.running_var,8.787596702575684,128,1,oracle_vs_full
layer2.0.downsample.1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer2.1.conv1.weight,6.582533836364746,147456,1,oracle_vs_full
layer2.1.bn1.weight,3.483894109725952,128,1,oracle_vs_full
layer2.1.bn1.bias,0.5358949303627014,128,1,oracle_vs_full
layer2.1.bn1.running_mean,7.1198530197143555,128,1,oracle_vs_full
layer2.1.bn1.running_var,10.014812469482422,128,1,oracle_vs_full
layer2.1.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer2.1.conv2.weight,6.368217945098877,147456,1,oracle_vs_full
layer2.1.bn2.weight,3.669083833694458,128,1,oracle_vs_full
layer2.1.bn2.bias,0.33853963017463684,128,1,oracle_vs_full
layer2.1.bn2.running_mean,4.0214080810546875,128,1,oracle_vs_full
layer2.1.bn2.running_var,5.472175598144531,128,1,oracle_vs_full
layer2.1.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer3.0.conv1.weight,7.302309036254883,294912,1,oracle_vs_full
layer3.0.bn1.weight,4.899125576019287,256,1,oracle_vs_full
layer3.0.bn1.bias,0.611320972442627,256,1,oracle_vs_full
layer3.0.bn1.running_mean,8.899603843688965,256,1,oracle_vs_full
layer3.0.bn1.running_var,8.788766860961914,256,1,oracle_vs_full
layer3.0.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer3.0.conv2.weight,9.293953895568848,589824,1,oracle_vs_full
layer3.0.bn2.weight,4.712587356567383,256,1,oracle_vs_full
layer3.0.bn2.bias,0.49955835938453674,256,1,oracle_vs_full
layer3.0.bn2.running_mean,4.884002685546875,256,1,oracle_vs_full
layer3.0.bn2.running_var,7.274289131164551,256,1,oracle_vs_full
layer3.0.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer3.0.downsample.0.weight,5.455595970153809,32768,1,oracle_vs_full
layer3.0.downsample.1.weight,4.832093238830566,256,1,oracle_vs_full
layer3.0.downsample.1.bias,0.49955835938453674,256,1,oracle_vs_full
layer3.0.downsample.1.running_mean,7.809450626373291,256,1,oracle_vs_full
layer3.0.downsample.1.running_var,14.016396522521973,256,1,oracle_vs_full
layer3.0.downsample.1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer3.1.conv1.weight,8.729631423950195,589824,1,oracle_vs_full
layer3.1.bn1.weight,4.89723539352417,256,1,oracle_vs_full
layer3.1.bn1.bias,0.5914453268051147,256,1,oracle_vs_full
layer3.1.bn1.running_mean,7.810793876647949,256,1,oracle_vs_full
layer3.1.bn1.running_var,13.799555778503418,256,1,oracle_vs_full
layer3.1.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer3.1.conv2.weight,8.5350923538208,589824,1,oracle_vs_full
layer3.1.bn2.weight,5.1386919021606445,256,1,oracle_vs_full
layer3.1.bn2.bias,0.4899733066558838,256,1,oracle_vs_full
layer3.1.bn2.running_mean,5.616801738739014,256,1,oracle_vs_full
layer3.1.bn2.running_var,7.604925632476807,256,1,oracle_vs_full
layer3.1.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.0.conv1.weight,9.69385051727295,1179648,1,oracle_vs_full
layer4.0.bn1.weight,6.920114040374756,512,1,oracle_vs_full
layer4.0.bn1.bias,0.7171131372451782,512,1,oracle_vs_full
layer4.0.bn1.running_mean,11.391348838806152,512,1,oracle_vs_full
layer4.0.bn1.running_var,18.4493408203125,512,1,oracle_vs_full
layer4.0.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.0.conv2.weight,11.953346252441406,2359296,1,oracle_vs_full
layer4.0.bn2.weight,6.706679344177246,512,1,oracle_vs_full
layer4.0.bn2.bias,0.8426646590232849,512,1,oracle_vs_full
layer4.0.bn2.running_mean,5.117822647094727,512,1,oracle_vs_full
layer4.0.bn2.running_var,9.293986320495605,512,1,oracle_vs_full
layer4.0.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.0.downsample.0.weight,7.56201696395874,131072,1,oracle_vs_full
layer4.0.downsample.1.weight,6.682196617126465,512,1,oracle_vs_full
layer4.0.downsample.1.bias,0.8426646590232849,512,1,oracle_vs_full
layer4.0.downsample.1.running_mean,10.631319046020508,512,1,oracle_vs_full
layer4.0.downsample.1.running_var,20.595849990844727,512,1,oracle_vs_full
layer4.0.downsample.1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.1.conv1.weight,11.79934310913086,2359296,1,oracle_vs_full
layer4.1.bn1.weight,6.910759925842285,512,1,oracle_vs_full
