layer_name,l2_distance,num_params,round,tag
conv1.weight,7.706098556518555,9408,1,oracle_vs_full
bn1.weight,2.108203649520874,64,1,oracle_vs_full
bn1.bias,0.9966602921485901,64,1,oracle_vs_full
bn1.running_mean,1.0718904733657837,64,1,oracle_vs_full
bn1.running_var,23.30107879638672,64,1,oracle_vs_full
bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer1.0.conv1.weight,5.84491491317749,36864,1,oracle_vs_full
layer1.0.bn1.weight,2.468566656112671,64,1,oracle_vs_full
layer1.0.bn1.bias,0.5461414456367493,64,1,oracle_vs_full
layer1.0.bn1.running_mean,9.78799819946289,64,1,oracle_vs_full
layer1.0.bn1.running_var,8.278653144836426,64,1,oracle_vs_full
layer1.0.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer1.0.conv2.weight,5.436740398406982,36864,1,oracle_vs_full
layer1.0.bn2.weight,2.664585828781128,64,1,oracle_vs_full
layer1.0.bn2.bias,0.44166800379753113,64,1,oracle_vs_full
layer1.0.bn2.running_mean,3.7210285663604736,64,1,oracle_vs_full
layer1.0.bn2.running_var,5.0817551612854,64,1,oracle_vs_full
layer1.0.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer1.1.conv1.weight,4.926712512969971,36864,1,oracle_vs_full
layer1.1.bn1.weight,2.4697697162628174,64,1,oracle_vs_full
layer1.1.bn1.bias,0.43168318271636963,64,1,oracle_vs_full
layer1.1.bn1.running_mean,10.163262367248535,64,1,oracle_vs_full
layer1.1.bn1.running_var,7.860312461853027,64,1,oracle_vs_full
layer1.1.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer1.1.conv2.weight,4.73043966293335,36864,1,oracle_vs_full
layer1.1.bn2.weight,2.7934720516204834,64,1,oracle_vs_full
layer1.1.bn2.bias,0.21641534566879272,64,1,oracle_vs_full
layer1.1.bn2.running_mean,3.7250478267669678,64,1,oracle_vs_full
layer1.1.bn2.running_var,4.032069206237793,64,1,oracle_vs_full
layer1.1.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer2.0.conv1.weight,5.332026958465576,73728,1,oracle_vs_full
layer2.0.bn1.weight,3.4692471027374268,128,1,oracle_vs_full
layer2.0.bn1.bias,0.43640589714050293,128,1,oracle_vs_full
layer2.0.bn1.running_mean,12.55100154876709,128,1,oracle_vs_full
layer2.0.bn1.running_var,6.644232273101807,128,1,oracle_vs_full
layer2.0.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer2.0.conv2.weight,6.921603202819824,147456,1,oracle_vs_full
layer2.0.bn2.weight,3.529024124145508,128,1,oracle_vs_full
layer2.0.bn2.bias,0.30728307366371155,128,1,oracle_vs_full
