round,avg_client_train_loss,avg_client_train_acc,oracle_val_loss,oracle_val_acc,oracle_to_full_l2,oracle_update_norm
1,3.6631719856032894,13.682236732928551,5.448549538421631,0.6,34618.82421875,714.0313720703125
2,3.5096975520003353,16.564703019930118,5.439839520263672,0.83,33907.75,711.6005859375
3,3.3282005586243706,20.03080542082546,5.075881233978271,2.14,33196.6875,711.2501220703125
4,3.14401323741788,23.593193115949642,4.7995122497558595,4.45,32485.62109375,711.1417846679688
5,2.9770805986403968,26.672777937686757,4.514724519348144,7.59,31774.55078125,711.1261596679688
6,2.844965494459407,29.496587095396535,4.362492366027832,8.98,31063.482421875,711.11767578125
7,2.732780769069573,31.65088562410903,4.181632134246827,11.55,30352.4140625,711.1095581054688
8,2.6456207187381406,33.464094535921326,4.0365841159820555,13.27,29641.34375,711.10595703125
9,2.5700706518159504,34.81914039340344,3.9586404651641844,14.23,28930.271484375,711.1018676757812
10,2.506658273415835,36.302269151795926,3.8688525283813475,15.28,28219.203125,711.1001586914062
11,2.4489531416343864,37.371154967312116,3.76359182510376,17.05,27508.1328125,711.0966796875
12,2.391052407338872,38.692981723920866,3.6845381149291994,17.98,26797.064453125,711.094482421875
13,2.338110838129242,39.76128838159524,3.6361611293792726,18.2,26085.994140625,711.0942993164062
14,2.3019345131783826,40.546085510668405,3.5754846977233887,19.61,25374.931640625,711.0904541015625
15,2.2587009619011464,41.75127761089162,3.517529609680176,20.44,24663.86328125,711.0904541015625
16,2.2203948366001,42.318320529462625,3.4899861061096193,21.77,23952.79296875,711.0897216796875
17,2.177623432305028,43.24115332139733,3.4347167301177977,21.76,23241.720703125,711.0888671875
18,2.146060694426514,44.00618679225172,3.4058570602416993,22.79,22530.65234375,711.0873413085938
19,2.1147763115510383,44.550666604149605,3.3633036560058596,23.12,21819.583984375,711.0879516601562
20,2.0852100779901934,45.42101731061696,3.324152604293823,24.16,21108.513671875,711.0868530273438
21,2.051194460442984,46.247571379370655,3.293612963485718,25.02,20397.4453125,711.0862426757812
22,2.015601972445369,46.85975395176141,3.279151247024536,24.82,19686.375,711.0862426757812
23,1.9845792599239103,47.57652067215391,3.2133701705932616,25.78,18975.3046875,711.0856323242188
24,1.9575480625384725,48.3354759827211,3.1928002922058107,26.6,18264.244140625,711.0843505859375
25,1.9349286456625552,48.98977697085705,3.1706990730285645,26.75,17553.171875,711.084716796875
26,1.907194942706138,49.42168272349114,3.1366745319366456,27.24,16842.10546875,711.0839233398438
27,1.8777962864140225,49.99548115476552,3.1333789260864258,27.54,16131.03515625,711.0836181640625
28,1.8534246851657699,50.677248085893645,3.0898818855285644,28.4,15419.966796875,711.08251953125
29,1.8300320394783043,51.23498030828969,3.0854083168029787,28.22,14708.8984375,711.0835571289062
30,1.8090527569850547,51.9132814669304,3.068629892349243,28.59,13997.8310546875,711.0822143554688
31,1.7861966941667573,52.24606825058026,3.044021505355835,28.93,13286.7626953125,711.0830078125
32,1.7718691868176335,52.48471730538401,3.016840675354004,29.45,12575.7001953125,711.0817260742188
33,1.7470908207456013,53.15108712959585,3.0217814203262328,29.58,11864.6328125,711.0823364257812
34,1.720253141056472,53.81962066847033,2.9793216608047484,30.3,11153.56640625,711.0817260742188
35,1.6984888754871807,54.32458701889714,2.9791159021377562,30.34,10442.5,711.0811157226562
36,1.6818907311116915,54.579619538214104,2.9614361392974855,30.6,9731.43359375,711.0814208984375
37,1.652831189448574,55.366443576259464,2.959798784637451,30.48,9020.375,711.0797729492188
38,1.6357727532294515,55.822579515641706,2.9460201223373415,30.97,8309.310546875,711.0800170898438
39,1.617232308046415,56.151522785892844,2.921140024185181,31.33,7598.2470703125,711.080322265625
40,1.6052421112157467,56.59229963258784,2.9046863920211794,31.72,6887.1865234375,711.0794067382812
41,1.5819788216567672,57.21456508031646,2.8885001735687257,32.07,6176.13232421875,711.0796508789062
42,1.5611115168243481,57.63596325853033,2.8814591461181642,32.03,5465.076171875,711.079833984375
43,1.544298448022658,57.98245546253036,2.8667846223831175,32.6,4754.0263671875,711.0797729492188
44,1.5260668137586053,58.48444423367107,2.863949878883362,32.6,4042.987060546875,711.079345703125
45,1.506117562940387,58.80614423532342,2.854917943954468,32.67,3331.9541015625,711.0789184570312
46,1.4871659865494309,59.4370387733978,2.841372669219971,33.33,2620.945068359375,711.0789184570312
47,1.4717643384442467,59.747343155879726,2.8268905906677246,33.46,1909.9798583984375,711.0791015625
48,1.453454384774649,60.06840544373276,2.836493937110901,33.22,1199.1431884765625,711.0784912109375
49,1.4389276607762578,60.56954281945036,2.81418147983551,33.37,489.2176208496094,711.0783081054688
50,1.4161657846473101,61.06705327841875,2.8270874811172484,33.66,228.04232788085938,711.0787353515625
