round,avg_client_train_loss,avg_client_train_acc,global_val_loss,global_val_acc,avg_update_l2,total_encrypt_time_sec,aggregation_time_sec,decrypt_time_sec,total_ciphertext_bytes,num_retained_clients
1,2.520191369578169,39.48389572227938,3.606329572677612,20.05,705.151473602826,80.58038187026978,13.878989458084106,1.659745216369629,8294757039,9
2,2.462080238931288,40.616326302904234,3.5620128383636476,20.75,705.1273356456453,76.74837565422058,13.824542999267578,1.6546940803527832,8294838723,9
3,2.42644319305892,41.17518401050873,3.53066604347229,21.01,705.12622551917,76.55406975746155,13.222971677780151,1.645212173461914,8294680622,9
4,2.397832238948031,41.75986480370196,3.50807170753479,21.09,705.1246952059198,78.53595972061157,13.56790542602539,1.6498348712921143,8294728705,9
5,2.3750785328467683,41.92403936165165,3.487348341369629,21.45,705.1235681181274,78.2954649925232,13.461576700210571,1.6359508037567139,8294722230,9
6,2.3550571765699337,42.41792649599918,3.4674288150787356,21.92,705.1239858551637,77.10820960998535,13.418653011322021,1.6081409454345703,8294708017,9
7,2.3372008410671614,42.89559548683356,3.4499784343719484,22.47,705.1235473897364,79.64983868598938,13.935197353363037,1.692141056060791,8294670966,9
8,2.3204264306045177,42.92349247351526,3.4376770000457766,22.37,705.122822521738,76.86183619499207,13.499361515045166,1.6477599143981934,8294759720,9
9,2.3044773105439607,43.292706220767734,3.426180676269531,22.54,705.1222622088997,77.91639757156372,13.550748586654663,1.656212568283081,8294783086,9
10,2.2904086792222156,43.57738903856304,3.4108138080596926,22.73,705.1219938027269,78.6187162399292,13.809654235839844,1.6806433200836182,8294782409,9
