layer_name,l2_distance,num_params,round,tag
conv1.weight,7.6869306564331055,9408,1,oracle_vs_full
bn1.weight,2.1042821407318115,64,1,oracle_vs_full
bn1.bias,1.0007880926132202,64,1,oracle_vs_full
bn1.running_mean,1.0486226081848145,64,1,oracle_vs_full
bn1.running_var,24.44014549255371,64,1,oracle_vs_full
bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer1.0.conv1.weight,5.847936630249023,36864,1,oracle_vs_full
layer1.0.bn1.weight,2.4693872928619385,64,1,oracle_vs_full
layer1.0.bn1.bias,0.5460796356201172,64,1,oracle_vs_full
layer1.0.bn1.running_mean,9.7694091796875,64,1,oracle_vs_full
layer1.0.bn1.running_var,8.424192428588867,64,1,oracle_vs_full
layer1.0.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer1.0.conv2.weight,5.432553291320801,36864,1,oracle_vs_full
layer1.0.bn2.weight,2.665583848953247,64,1,oracle_vs_full
layer1.0.bn2.bias,0.44291722774505615,64,1,oracle_vs_full
layer1.0.bn2.running_mean,3.742588758468628,64,1,oracle_vs_full
layer1.0.bn2.running_var,4.96594762802124,64,1,oracle_vs_full
layer1.0.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer1.1.conv1.weight,4.9238080978393555,36864,1,oracle_vs_full
layer1.1.bn1.weight,2.470564842224121,64,1,oracle_vs_full
layer1.1.bn1.bias,0.4317238926887512,64,1,oracle_vs_full
layer1.1.bn1.running_mean,9.953848838806152,64,1,oracle_vs_full
layer1.1.bn1.running_var,7.364097595214844,64,1,oracle_vs_full
layer1.1.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer1.1.conv2.weight,4.734516143798828,36864,1,oracle_vs_full
layer1.1.bn2.weight,2.794644594192505,64,1,oracle_vs_full
layer1.1.bn2.bias,0.2146492451429367,64,1,oracle_vs_full
layer1.1.bn2.running_mean,3.7335851192474365,64,1,oracle_vs_full
layer1.1.bn2.running_var,4.022191524505615,64,1,oracle_vs_full
layer1.1.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer2.0.conv1.weight,5.327603340148926,73728,1,oracle_vs_full
layer2.0.bn1.weight,3.469538688659668,128,1,oracle_vs_full
layer2.0.bn1.bias,0.43652668595314026,128,1,oracle_vs_full
layer2.0.bn1.running_mean,12.61665153503418,128,1,oracle_vs_full
layer2.0.bn1.running_var,7.384422302246094,128,1,oracle_vs_full
layer2.0.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer2.0.conv2.weight,6.924600124359131,147456,1,oracle_vs_full
layer2.0.bn2.weight,3.527387857437134,128,1,oracle_vs_full
layer2.0.bn2.bias,0.3036886751651764,128,1,oracle_vs_full
layer2.0.bn2.running_mean,5.547248363494873,128,1,oracle_vs_full
layer2.0.bn2.running_var,5.856596946716309,128,1,oracle_vs_full
layer2.0.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer2.0.downsample.0.weight,4.165996074676514,8192,1,oracle_vs_full
layer2.0.downsample.1.weight,3.1908719539642334,128,1,oracle_vs_full
layer2.0.downsample.1.bias,0.3036886751651764,128,1,oracle_vs_full
layer2.0.downsample.1.running_mean,5.29485559463501,128,1,oracle_vs_full
layer2.0.downsample.1.running_var,9.289841651916504,128,1,oracle_vs_full
layer2.0.downsample.1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer2.1.conv1.weight,6.583855628967285,147456,1,oracle_vs_full
layer2.1.bn1.weight,3.4839820861816406,128,1,oracle_vs_full
layer2.1.bn1.bias,0.5345092415809631,128,1,oracle_vs_full
layer2.1.bn1.running_mean,7.294929027557373,128,1,oracle_vs_full
layer2.1.bn1.running_var,10.584656715393066,128,1,oracle_vs_full
layer2.1.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer2.1.conv2.weight,6.365289688110352,147456,1,oracle_vs_full
layer2.1.bn2.weight,3.66825795173645,128,1,oracle_vs_full
layer2.1.bn2.bias,0.33891549706459045,128,1,oracle_vs_full
layer2.1.bn2.running_mean,4.061032295227051,128,1,oracle_vs_full
layer2.1.bn2.running_var,5.562297344207764,128,1,oracle_vs_full
layer2.1.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer3.0.conv1.weight,7.300333499908447,294912,1,oracle_vs_full
layer3.0.bn1.weight,4.899376392364502,256,1,oracle_vs_full
layer3.0.bn1.bias,0.6119240522384644,256,1,oracle_vs_full
layer3.0.bn1.running_mean,8.700437545776367,256,1,oracle_vs_full
layer3.0.bn1.running_var,8.853178977966309,256,1,oracle_vs_full
layer3.0.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer3.0.conv2.weight,9.29316234588623,589824,1,oracle_vs_full
layer3.0.bn2.weight,4.712524890899658,256,1,oracle_vs_full
layer3.0.bn2.bias,0.5004144310951233,256,1,oracle_vs_full
layer3.0.bn2.running_mean,4.8238372802734375,256,1,oracle_vs_full
layer3.0.bn2.running_var,7.101158142089844,256,1,oracle_vs_full
layer3.0.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer3.0.downsample.0.weight,5.456049919128418,32768,1,oracle_vs_full
layer3.0.downsample.1.weight,4.8335652351379395,256,1,oracle_vs_full
layer3.0.downsample.1.bias,0.5004144310951233,256,1,oracle_vs_full
layer3.0.downsample.1.running_mean,7.759037971496582,256,1,oracle_vs_full
layer3.0.downsample.1.running_var,13.851778030395508,256,1,oracle_vs_full
layer3.0.downsample.1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer3.1.conv1.weight,8.730311393737793,589824,1,oracle_vs_full
layer3.1.bn1.weight,4.897512435913086,256,1,oracle_vs_full
layer3.1.bn1.bias,0.5916897058486938,256,1,oracle_vs_full
layer3.1.bn1.running_mean,7.6491265296936035,256,1,oracle_vs_full
layer3.1.bn1.running_var,13.710679054260254,256,1,oracle_vs_full
layer3.1.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer3.1.conv2.weight,8.53337574005127,589824,1,oracle_vs_full
layer3.1.bn2.weight,5.137886047363281,256,1,oracle_vs_full
layer3.1.bn2.bias,0.489836722612381,256,1,oracle_vs_full
layer3.1.bn2.running_mean,5.5233306884765625,256,1,oracle_vs_full
layer3.1.bn2.running_var,7.6443190574646,256,1,oracle_vs_full
layer3.1.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.0.conv1.weight,9.694572448730469,1179648,1,oracle_vs_full
layer4.0.bn1.weight,6.920475006103516,512,1,oracle_vs_full
layer4.0.bn1.bias,0.7180812954902649,512,1,oracle_vs_full
layer4.0.bn1.running_mean,11.665432929992676,512,1,oracle_vs_full
layer4.0.bn1.running_var,18.286415100097656,512,1,oracle_vs_full
layer4.0.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.0.conv2.weight,11.95250129699707,2359296,1,oracle_vs_full
layer4.0.bn2.weight,6.706175327301025,512,1,oracle_vs_full
layer4.0.bn2.bias,0.8430026173591614,512,1,oracle_vs_full
layer4.0.bn2.running_mean,5.014659404754639,512,1,oracle_vs_full
layer4.0.bn2.running_var,9.37997817993164,512,1,oracle_vs_full
layer4.0.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.0.downsample.0.weight,7.562494277954102,131072,1,oracle_vs_full
layer4.0.downsample.1.weight,6.682923793792725,512,1,oracle_vs_full
layer4.0.downsample.1.bias,0.8430026173591614,512,1,oracle_vs_full
layer4.0.downsample.1.running_mean,10.775659561157227,512,1,oracle_vs_full
layer4.0.downsample.1.running_var,20.5490665435791,512,1,oracle_vs_full
layer4.0.downsample.1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.1.conv1.weight,11.799246788024902,2359296,1,oracle_vs_full
layer4.1.bn1.weight,6.911096096038818,512,1,oracle_vs_full
layer4.1.bn1.bias,0.5076054930686951,512,1,oracle_vs_full
layer4.1.bn1.running_mean,5.793680191040039,512,1,oracle_vs_full
layer4.1.bn1.running_var,13.141648292541504,512,1,oracle_vs_full
layer4.1.bn1.num_batches_tracked,7741.0,1,1,oracle_vs_full
layer4.1.conv2.weight,11.651655197143555,2359296,1,oracle_vs_full
layer4.1.bn2.weight,6.035894393920898,512,1,oracle_vs_full
layer4.1.bn2.bias,0.9602634906768799,512,1,oracle_vs_full
layer4.1.bn2.running_mean,7.131960868835449,512,1,oracle_vs_full
layer4.1.bn2.running_var,8.47104549407959,512,1,oracle_vs_full
layer4.1.bn2.num_batches_tracked,7741.0,1,1,oracle_vs_full
fc.weight,10.792573928833008,102400,1,oracle_vs_full
fc.bias,0.12282361835241318,200,1,oracle_vs_full
conv1.weight,7.6206865310668945,9408,2,oracle_vs_full
bn1.weight,2.063021659851074,64,2,oracle_vs_full
bn1.bias,0.9698495268821716,64,2,oracle_vs_full
bn1.running_mean,1.025600790977478,64,2,oracle_vs_full
bn1.running_var,18.43733787536621,64,2,oracle_vs_full
bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer1.0.conv1.weight,5.810380458831787,36864,2,oracle_vs_full
layer1.0.bn1.weight,2.4101972579956055,64,2,oracle_vs_full
layer1.0.bn1.bias,0.5421408414840698,64,2,oracle_vs_full
layer1.0.bn1.running_mean,9.456144332885742,64,2,oracle_vs_full
layer1.0.bn1.running_var,8.862506866455078,64,2,oracle_vs_full
layer1.0.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer1.0.conv2.weight,5.3908233642578125,36864,2,oracle_vs_full
layer1.0.bn2.weight,2.5992212295532227,64,2,oracle_vs_full
layer1.0.bn2.bias,0.4294463098049164,64,2,oracle_vs_full
layer1.0.bn2.running_mean,3.774866819381714,64,2,oracle_vs_full
layer1.0.bn2.running_var,4.093961238861084,64,2,oracle_vs_full
layer1.0.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer1.1.conv1.weight,4.8754563331604,36864,2,oracle_vs_full
layer1.1.bn1.weight,2.411121129989624,64,2,oracle_vs_full
layer1.1.bn1.bias,0.4375797510147095,64,2,oracle_vs_full
layer1.1.bn1.running_mean,10.585092544555664,64,2,oracle_vs_full
layer1.1.bn1.running_var,6.481957912445068,64,2,oracle_vs_full
layer1.1.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer1.1.conv2.weight,4.6785807609558105,36864,2,oracle_vs_full
layer1.1.bn2.weight,2.718679904937744,64,2,oracle_vs_full
layer1.1.bn2.bias,0.21187303960323334,64,2,oracle_vs_full
layer1.1.bn2.running_mean,3.7879819869995117,64,2,oracle_vs_full
layer1.1.bn2.running_var,3.8578269481658936,64,2,oracle_vs_full
layer1.1.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer2.0.conv1.weight,5.286446571350098,73728,2,oracle_vs_full
layer2.0.bn1.weight,3.3854212760925293,128,2,oracle_vs_full
layer2.0.bn1.bias,0.44382137060165405,128,2,oracle_vs_full
layer2.0.bn1.running_mean,12.9201078414917,128,2,oracle_vs_full
layer2.0.bn1.running_var,7.383480072021484,128,2,oracle_vs_full
layer2.0.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer2.0.conv2.weight,6.844489574432373,147456,2,oracle_vs_full
layer2.0.bn2.weight,3.441481828689575,128,2,oracle_vs_full
layer2.0.bn2.bias,0.31197550892829895,128,2,oracle_vs_full
layer2.0.bn2.running_mean,5.669289588928223,128,2,oracle_vs_full
layer2.0.bn2.running_var,5.530162334442139,128,2,oracle_vs_full
layer2.0.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer2.0.downsample.0.weight,4.0905046463012695,8192,2,oracle_vs_full
layer2.0.downsample.1.weight,3.118590831756592,128,2,oracle_vs_full
layer2.0.downsample.1.bias,0.31197550892829895,128,2,oracle_vs_full
layer2.0.downsample.1.running_mean,5.214666366577148,128,2,oracle_vs_full
layer2.0.downsample.1.running_var,10.169036865234375,128,2,oracle_vs_full
layer2.0.downsample.1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer2.1.conv1.weight,6.500376224517822,147456,2,oracle_vs_full
layer2.1.bn1.weight,3.4006378650665283,128,2,oracle_vs_full
layer2.1.bn1.bias,0.5408284664154053,128,2,oracle_vs_full
layer2.1.bn1.running_mean,7.340943813323975,128,2,oracle_vs_full
layer2.1.bn1.running_var,10.272172927856445,128,2,oracle_vs_full
layer2.1.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer2.1.conv2.weight,6.277627468109131,147456,2,oracle_vs_full
layer2.1.bn2.weight,3.574500322341919,128,2,oracle_vs_full
layer2.1.bn2.bias,0.34533655643463135,128,2,oracle_vs_full
layer2.1.bn2.running_mean,4.087069034576416,128,2,oracle_vs_full
layer2.1.bn2.running_var,5.541566848754883,128,2,oracle_vs_full
layer2.1.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer3.0.conv1.weight,7.228718280792236,294912,2,oracle_vs_full
layer3.0.bn1.weight,4.780426502227783,256,2,oracle_vs_full
layer3.0.bn1.bias,0.6182547807693481,256,2,oracle_vs_full
layer3.0.bn1.running_mean,8.725759506225586,256,2,oracle_vs_full
layer3.0.bn1.running_var,8.77079963684082,256,2,oracle_vs_full
layer3.0.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer3.0.conv2.weight,9.173369407653809,589824,2,oracle_vs_full
layer3.0.bn2.weight,4.592902183532715,256,2,oracle_vs_full
layer3.0.bn2.bias,0.5095372200012207,256,2,oracle_vs_full
layer3.0.bn2.running_mean,5.029703140258789,256,2,oracle_vs_full
layer3.0.bn2.running_var,6.979582786560059,256,2,oracle_vs_full
layer3.0.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer3.0.downsample.0.weight,5.34807014465332,32768,2,oracle_vs_full
layer3.0.downsample.1.weight,4.719252586364746,256,2,oracle_vs_full
layer3.0.downsample.1.bias,0.5095372200012207,256,2,oracle_vs_full
layer3.0.downsample.1.running_mean,7.6028337478637695,256,2,oracle_vs_full
layer3.0.downsample.1.running_var,13.722098350524902,256,2,oracle_vs_full
layer3.0.downsample.1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer3.1.conv1.weight,8.608421325683594,589824,2,oracle_vs_full
layer3.1.bn1.weight,4.7784881591796875,256,2,oracle_vs_full
layer3.1.bn1.bias,0.5961495041847229,256,2,oracle_vs_full
layer3.1.bn1.running_mean,7.964898109436035,256,2,oracle_vs_full
layer3.1.bn1.running_var,13.94443416595459,256,2,oracle_vs_full
layer3.1.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer3.1.conv2.weight,8.405595779418945,589824,2,oracle_vs_full
layer3.1.bn2.weight,5.014830589294434,256,2,oracle_vs_full
layer3.1.bn2.bias,0.4939528703689575,256,2,oracle_vs_full
layer3.1.bn2.running_mean,5.6154561042785645,256,2,oracle_vs_full
layer3.1.bn2.running_var,7.837463855743408,256,2,oracle_vs_full
layer3.1.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer4.0.conv1.weight,9.586413383483887,1179648,2,oracle_vs_full
layer4.0.bn1.weight,6.752060413360596,512,2,oracle_vs_full
layer4.0.bn1.bias,0.7208360433578491,512,2,oracle_vs_full
layer4.0.bn1.running_mean,12.496622085571289,512,2,oracle_vs_full
layer4.0.bn1.running_var,18.867284774780273,512,2,oracle_vs_full
layer4.0.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer4.0.conv2.weight,11.758978843688965,2359296,2,oracle_vs_full
layer4.0.bn2.weight,6.49939489364624,512,2,oracle_vs_full
layer4.0.bn2.bias,0.7891623973846436,512,2,oracle_vs_full
layer4.0.bn2.running_mean,4.9758758544921875,512,2,oracle_vs_full
layer4.0.bn2.running_var,9.7767333984375,512,2,oracle_vs_full
layer4.0.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer4.0.downsample.0.weight,7.407008647918701,131072,2,oracle_vs_full
layer4.0.downsample.1.weight,6.479759216308594,512,2,oracle_vs_full
layer4.0.downsample.1.bias,0.7891623973846436,512,2,oracle_vs_full
layer4.0.downsample.1.running_mean,10.613375663757324,512,2,oracle_vs_full
layer4.0.downsample.1.running_var,21.425556182861328,512,2,oracle_vs_full
layer4.0.downsample.1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer4.1.conv1.weight,11.604007720947266,2359296,2,oracle_vs_full
layer4.1.bn1.weight,6.742647171020508,512,2,oracle_vs_full
layer4.1.bn1.bias,0.5097120404243469,512,2,oracle_vs_full
layer4.1.bn1.running_mean,5.5877766609191895,512,2,oracle_vs_full
layer4.1.bn1.running_var,11.537095069885254,512,2,oracle_vs_full
layer4.1.bn1.num_batches_tracked,7582.0,1,2,oracle_vs_full
layer4.1.conv2.weight,11.432862281799316,2359296,2,oracle_vs_full
layer4.1.bn2.weight,5.819569110870361,512,2,oracle_vs_full
layer4.1.bn2.bias,0.8603484034538269,512,2,oracle_vs_full
layer4.1.bn2.running_mean,6.405186653137207,512,2,oracle_vs_full
layer4.1.bn2.running_var,8.198847770690918,512,2,oracle_vs_full
layer4.1.bn2.num_batches_tracked,7582.0,1,2,oracle_vs_full
fc.weight,10.627260208129883,102400,2,oracle_vs_full
