layer_name,l2_distance,num_params,round,tag
conv1.weight,7.6997246742248535,9408,1,oracle_vs_full
bn1.weight,2.101494312286377,64,1,oracle_vs_full
bn1.bias,0.9931681156158447,64,1,oracle_vs_full
bn1.running_mean,1.0627291202545166,64,1,oracle_vs_full
bn1.running_var,26.682483673095703,64,1,oracle_vs_full
bn1.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer1.0.conv1.weight,5.84382438659668,36864,1,oracle_vs_full
layer1.0.bn1.weight,2.469324827194214,64,1,oracle_vs_full
layer1.0.bn1.bias,0.5477408766746521,64,1,oracle_vs_full
layer1.0.bn1.running_mean,9.633955955505371,64,1,oracle_vs_full
layer1.0.bn1.running_var,7.705179214477539,64,1,oracle_vs_full
layer1.0.bn1.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer1.0.conv2.weight,5.4410719871521,36864,1,oracle_vs_full
layer1.0.bn2.weight,2.6660826206207275,64,1,oracle_vs_full
layer1.0.bn2.bias,0.437793105840683,64,1,oracle_vs_full
layer1.0.bn2.running_mean,3.623518228530884,64,1,oracle_vs_full
layer1.0.bn2.running_var,4.920624256134033,64,1,oracle_vs_full
layer1.0.bn2.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer1.1.conv1.weight,4.920253753662109,36864,1,oracle_vs_full
layer1.1.bn1.weight,2.471174955368042,64,1,oracle_vs_full
layer1.1.bn1.bias,0.42982733249664307,64,1,oracle_vs_full
layer1.1.bn1.running_mean,9.85698127746582,64,1,oracle_vs_full
layer1.1.bn1.running_var,8.638139724731445,64,1,oracle_vs_full
layer1.1.bn1.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer1.1.conv2.weight,4.729442119598389,36864,1,oracle_vs_full
layer1.1.bn2.weight,2.7972755432128906,64,1,oracle_vs_full
layer1.1.bn2.bias,0.21573702991008759,64,1,oracle_vs_full
layer1.1.bn2.running_mean,3.6459083557128906,64,1,oracle_vs_full
layer1.1.bn2.running_var,4.015639305114746,64,1,oracle_vs_full
layer1.1.bn2.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer2.0.conv1.weight,5.323967933654785,73728,1,oracle_vs_full
layer2.0.bn1.weight,3.470423698425293,128,1,oracle_vs_full
layer2.0.bn1.bias,0.4364373981952667,128,1,oracle_vs_full
layer2.0.bn1.running_mean,12.280439376831055,128,1,oracle_vs_full
layer2.0.bn1.running_var,7.680939674377441,128,1,oracle_vs_full
layer2.0.bn1.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer2.0.conv2.weight,6.921011447906494,147456,1,oracle_vs_full
layer2.0.bn2.weight,3.525693893432617,128,1,oracle_vs_full
layer2.0.bn2.bias,0.3047633171081543,128,1,oracle_vs_full
layer2.0.bn2.running_mean,5.325281143188477,128,1,oracle_vs_full
layer2.0.bn2.running_var,5.999267101287842,128,1,oracle_vs_full
layer2.0.bn2.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer2.0.downsample.0.weight,4.165433406829834,8192,1,oracle_vs_full
layer2.0.downsample.1.weight,3.193629264831543,128,1,oracle_vs_full
layer2.0.downsample.1.bias,0.3047633171081543,128,1,oracle_vs_full
layer2.0.downsample.1.running_mean,5.195918083190918,128,1,oracle_vs_full
layer2.0.downsample.1.running_var,9.706510543823242,128,1,oracle_vs_full
layer2.0.downsample.1.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer2.1.conv1.weight,6.5812883377075195,147456,1,oracle_vs_full
layer2.1.bn1.weight,3.4847586154937744,128,1,oracle_vs_full
layer2.1.bn1.bias,0.5366156101226807,128,1,oracle_vs_full
layer2.1.bn1.running_mean,7.28023099899292,128,1,oracle_vs_full
layer2.1.bn1.running_var,10.090466499328613,128,1,oracle_vs_full
layer2.1.bn1.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer2.1.conv2.weight,6.36445426940918,147456,1,oracle_vs_full
layer2.1.bn2.weight,3.669687509536743,128,1,oracle_vs_full
layer2.1.bn2.bias,0.3395506739616394,128,1,oracle_vs_full
layer2.1.bn2.running_mean,3.953014612197876,128,1,oracle_vs_full
layer2.1.bn2.running_var,5.523249626159668,128,1,oracle_vs_full
layer2.1.bn2.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer3.0.conv1.weight,7.301388740539551,294912,1,oracle_vs_full
layer3.0.bn1.weight,4.900578022003174,256,1,oracle_vs_full
layer3.0.bn1.bias,0.613041877746582,256,1,oracle_vs_full
layer3.0.bn1.running_mean,8.21179485321045,256,1,oracle_vs_full
layer3.0.bn1.running_var,8.379072189331055,256,1,oracle_vs_full
layer3.0.bn1.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer3.0.conv2.weight,9.29325008392334,589824,1,oracle_vs_full
layer3.0.bn2.weight,4.713986396789551,256,1,oracle_vs_full
layer3.0.bn2.bias,0.4996771216392517,256,1,oracle_vs_full
layer3.0.bn2.running_mean,4.836534023284912,256,1,oracle_vs_full
layer3.0.bn2.running_var,7.007264614105225,256,1,oracle_vs_full
layer3.0.bn2.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer3.0.downsample.0.weight,5.457787990570068,32768,1,oracle_vs_full
layer3.0.downsample.1.weight,4.833736419677734,256,1,oracle_vs_full
layer3.0.downsample.1.bias,0.4996771216392517,256,1,oracle_vs_full
layer3.0.downsample.1.running_mean,7.805325031280518,256,1,oracle_vs_full
layer3.0.downsample.1.running_var,13.868108749389648,256,1,oracle_vs_full
layer3.0.downsample.1.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer3.1.conv1.weight,8.731841087341309,589824,1,oracle_vs_full
layer3.1.bn1.weight,4.898589134216309,256,1,oracle_vs_full
layer3.1.bn1.bias,0.5914328694343567,256,1,oracle_vs_full
layer3.1.bn1.running_mean,7.624264717102051,256,1,oracle_vs_full
layer3.1.bn1.running_var,13.644845962524414,256,1,oracle_vs_full
layer3.1.bn1.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer3.1.conv2.weight,8.534934997558594,589824,1,oracle_vs_full
layer3.1.bn2.weight,5.139950275421143,256,1,oracle_vs_full
layer3.1.bn2.bias,0.4901673495769501,256,1,oracle_vs_full
layer3.1.bn2.running_mean,5.475653171539307,256,1,oracle_vs_full
layer3.1.bn2.running_var,7.636884689331055,256,1,oracle_vs_full
layer3.1.bn2.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer4.0.conv1.weight,9.695707321166992,1179648,1,oracle_vs_full
layer4.0.bn1.weight,6.922089576721191,512,1,oracle_vs_full
layer4.0.bn1.bias,0.7170532941818237,512,1,oracle_vs_full
layer4.0.bn1.running_mean,11.531023979187012,512,1,oracle_vs_full
layer4.0.bn1.running_var,18.424924850463867,512,1,oracle_vs_full
layer4.0.bn1.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer4.0.conv2.weight,11.954682350158691,2359296,1,oracle_vs_full
layer4.0.bn2.weight,6.708826065063477,512,1,oracle_vs_full
layer4.0.bn2.bias,0.8444399833679199,512,1,oracle_vs_full
layer4.0.bn2.running_mean,4.99397087097168,512,1,oracle_vs_full
layer4.0.bn2.running_var,9.220547676086426,512,1,oracle_vs_full
layer4.0.bn2.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer4.0.downsample.0.weight,7.563842296600342,131072,1,oracle_vs_full
layer4.0.downsample.1.weight,6.686563968658447,512,1,oracle_vs_full
layer4.0.downsample.1.bias,0.8444399833679199,512,1,oracle_vs_full
layer4.0.downsample.1.running_mean,10.783177375793457,512,1,oracle_vs_full
layer4.0.downsample.1.running_var,20.407833099365234,512,1,oracle_vs_full
layer4.0.downsample.1.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer4.1.conv1.weight,11.801297187805176,2359296,1,oracle_vs_full
layer4.1.bn1.weight,6.912764549255371,512,1,oracle_vs_full
layer4.1.bn1.bias,0.5076921582221985,512,1,oracle_vs_full
layer4.1.bn1.running_mean,5.832268238067627,512,1,oracle_vs_full
layer4.1.bn1.running_var,13.135143280029297,512,1,oracle_vs_full
layer4.1.bn1.num_batches_tracked,7742.0,1,1,oracle_vs_full
layer4.1.conv2.weight,11.65466594696045,2359296,1,oracle_vs_full
layer4.1.bn2.weight,6.0391058921813965,512,1,oracle_vs_full
layer4.1.bn2.bias,0.9622843861579895,512,1,oracle_vs_full
layer4.1.bn2.running_mean,7.33855676651001,512,1,oracle_vs_full
