round,avg_client_train_loss,avg_client_train_acc,oracle_val_loss,oracle_val_acc,oracle_to_full_l2,oracle_update_norm
1,3.6787749279964794,13.733766913440503,5.454531694030762,0.59,34623.296875,709.64404296875
2,3.529430449769069,16.40694544106071,5.425734416198731,0.77,33916.69921875,707.1925659179688
3,3.3464616398668507,19.756233022646683,5.1394584877014164,1.8,33210.10546875,706.7430419921875
4,3.162316246674047,23.39781231588926,4.863891143035889,3.88,32503.509765625,706.6715087890625
5,3.0060903869881956,26.38947283115977,4.579395793151855,6.76,31796.912109375,706.6522827148438
6,2.860800539752346,29.284046864583203,4.350204078674317,9.17,31090.31640625,706.6436767578125
7,2.756712994742953,31.194618168377573,4.186423126983643,11.3,30383.716796875,706.6395874023438
8,2.653216737765247,33.47562903597973,4.067485591506958,12.78,29677.119140625,706.6319580078125
9,2.58214457734289,34.809596347565304,3.926256592941284,14.98,28970.521484375,706.6295776367188
10,2.517330180024614,36.01799996674033,3.8614165130615232,15.84,28263.92578125,706.6253051757812
11,2.4519084639350757,37.563529480707686,3.7494650890350343,17.4,27557.328125,706.6238403320312
12,2.3938469856272073,38.86959943862545,3.676068918991089,18.82,26850.728515625,706.6238403320312
13,2.344333323454151,39.84858332402364,3.6323375011444092,19.42,26144.1328125,706.6221923828125
14,2.309081705628719,40.329516654138644,3.578667179107666,20.27,25437.54296875,706.6192016601562
15,2.2588742258198793,41.60990909532511,3.538907064437866,20.42,24730.9453125,706.620849609375
16,2.2219698209903367,42.42878485561516,3.4885250701904296,21.69,24024.345703125,706.6216430664062
17,2.1878250314791012,43.18009870920052,3.44657427444458,21.95,23317.748046875,706.61962890625
18,2.149453208889348,44.004135463538894,3.3879164779663085,23.08,22611.15234375,706.6190185546875
19,2.116681420460156,44.8544821038269,3.35835461769104,23.13,21904.556640625,706.61572265625
20,2.0927028390183633,45.32224480099151,3.3361075214385987,23.9,21197.958984375,706.61474609375
21,2.0540153065933255,46.2879164681977,3.3063941665649415,24.32,20491.361328125,706.6140747070312
22,2.020961819515418,46.964677241083095,3.260315997314453,24.84,19784.763671875,706.6141357421875
23,1.9892325926492294,47.68114125925879,3.210387565994263,25.9,19078.16796875,706.6129760742188
24,1.9573097795260521,48.31146965808315,3.203565643310547,25.86,18371.5703125,706.6135864257812
25,1.935990785541562,48.79758662339893,3.1785105350494383,26.46,17664.98046875,706.61328125
26,1.9113557134770671,49.37588391393359,3.1351953086853026,27.19,16958.3828125,706.6126098632812
27,1.888239938040301,49.754813612924686,3.1175249214172362,27.39,16251.787109375,706.6124877929688
28,1.858353064491979,50.550181250443266,3.1066702487945554,27.97,15545.1904296875,706.6119384765625
29,1.8425196475326646,50.758990080917194,3.0874805267333985,28.34,14838.595703125,706.611572265625
30,1.8103691385087377,51.66854165964705,3.059525138092041,28.72,14131.9990234375,706.6107177734375
31,1.7853179727170085,52.17110169852496,3.0418782440185548,29.02,13425.404296875,706.6104125976562
32,1.7711369078365915,52.51385346480556,3.016138501358032,29.38,12718.8134765625,706.60986328125
33,1.7464879899743397,53.1169896495683,3.0021455570220947,30.13,12012.2197265625,706.6095581054688
34,1.726276971192862,53.70036136402027,2.9872405811309815,29.95,11305.6240234375,706.6094360351562
35,1.702437742402145,54.21256996455274,2.9747613231658936,30.6,10599.0302734375,706.6094970703125
36,1.6821218261208655,54.66348100431269,2.956737176513672,30.5,9892.4365234375,706.6090698242188
37,1.6605461067208869,55.1412947407212,2.9454527423858643,31.19,9185.8447265625,706.609619140625
38,1.6421111541039173,55.61119796310467,2.9407660961151123,31.02,8479.2587890625,706.6095581054688
39,1.620531455550891,56.18832680985199,2.9206307552337645,31.48,7772.66845703125,706.6077270507812
40,1.6037731584452257,56.48253302276933,2.898108668136597,32.01,7066.07958984375,706.6080932617188
41,1.5841014169768295,57.041631708965205,2.9020678649902343,32.02,6359.49951171875,706.607421875
42,1.5719118575336748,57.30452141260404,2.870566101074219,32.25,5652.916015625,706.6072387695312
43,1.5438465962942736,58.07416766138475,2.8744991466522216,32.21,4946.337890625,706.6085205078125
44,1.5202687270291244,58.368888990040105,2.872699214553833,32.19,4239.76806640625,706.6078491210938
45,1.514231954063333,58.787673632941015,2.844466561508179,33.01,3533.20556640625,706.60693359375
46,1.4971078937660707,58.96547002558686,2.837728423309326,33.39,2826.666259765625,706.60693359375
47,1.4783466140727688,59.44597700164133,2.8398173404693603,33.44,2120.16357421875,706.6072998046875
48,1.4605752674297594,59.97245331374901,2.842008639907837,33.29,1413.7579345703125,706.6064453125
49,1.442104571557304,60.316906052585296,2.8123855922698975,33.64,707.8239135742188,706.6065063476562
50,1.4212887271718158,60.791264491902695,2.818982448196411,33.79,49.064964294433594,706.6063232421875
