round,train_loss,train_acc,val_loss,val_acc
1,2.7015199630579154,34.58891098844615,3.1085710932936848,29.31
2,2.5235898135984858,38.456209354817084,2.9806163129927237,31.69
3,2.3695670155817647,41.68212394126981,2.820716441432132,34.52
4,2.2393695611115265,44.4107984892842,2.8061385215083257,34.69
5,2.1254914666687785,46.83442465416676,2.8809760612777517,34.74
6,2.030461170743243,48.750754240507746,2.8788432350641564,35.09
7,1.9477011518362508,50.52294008536885,2.711634104764914,37.84
8,1.8589276632638894,52.48508279884685,2.6915664899198313,38.85
9,1.78741152734736,53.82260263257872,2.7328664004048213,38.53
10,1.7206496582276656,55.34896194158268,2.71968087968947,38.91
